1,0.0323333,0.583264
1,0.03,0.57011
1,0.0327222,0.534373
1,0.0324444,0.39382
1,0.0324444,0.39382
1,0.0325556,0.545784
1,0.0324444,0.574945
1,0.0288333,0.142554
1,0.0202222,0.539296
1,0.0292222,0.515506
1,0.0318889,0.286216
1,0.0318889,0.286216
1,0.0316111,0.491425
1,0.027,0.499905
1,0.0343333,0.142522
1,0.0329444,0.595025
1,0.0308889,0.577818
1,0.0333333,0.556998
1,0.0332778,0.592006
1,0.0322222,0.522878
2,0.358,0.553043
2,0.339222,0.498655
2,0.329778,0.507066
2,0.341611,0.541601
2,0.339722,0.514346
2,0.351111,0.35706
2,0.341,0.440702
2,0.3745,0.47043
2,0.444444,0.528263
2,0.414167,0.460872
2,0.361056,0.406936
2,0.371444,0.424279
2,0.362444,0.495239
2,0.405556,0.541737
2,0.324333,0.134671
2,0.325222,0.583199
2,0.321222,0.597943
2,0.329556,0.606513
2,0.328722,0.603694
2,0.316667,0.54994
3,0.629833,0.593235
3,0.663778,0.570172
3,0.633611,0.50022
3,0.620278,0.558367
3,0.616278,0.531416
3,0.664222,0.500286
3,0.635,0.53555
3,0.5785,0.576271
3,0.566611,0.509781
3,0.6235,0.505573
3,0.586222,0.555079
3,0.559778,0.578128
3,0.641222,0.608968
3,0.6385,0.620924
3,0.665333,0.593909
3,0.634389,0.613263
3,0.648167,0.606114
3,0.637056,0.607838
3,0.651111,0.579466
3,0.651056,0.611052
